SystemIndex,Millis,MeanIBI,MaxIBI,MinIBI,MeanNDVI,MaxNDVI,MinNDVI,MeanMNDWI,MaxMNDWI,MinMNDWI,MeanLST,MaxLST,MinLST,Cloud,Timestamp,Year,Month,Day,DOY,Sensor
1_2_LE07_126052_20181201,1543634168040,-0.141615518518696,0.5474034755796862,-0.8374958150701173,0.4349068803804394,0.8435457348823547,-0.6316540837287903,-0.2940682033574106,0.941747572815534,-0.7136492160054836,30.140725475394984,45.3701788582361,20.00101489817166,7.0,2018-12-01 03:16:08.040,2018,12,1,335,LS7
1_1_LC08_126052_20181209,1544325594790,-0.1491759851358641,0.2228440104033617,-0.5442040500381076,0.4867624076587859,0.9309538006782532,-0.6303901672363281,-0.3153718979603366,0.7860962566844921,-0.6739562624254474,24.9334825574662,38.251108471346186,20.00000411338374,34.22999954223633,2018-12-09 03:19:54.790,2018,12,9,343,LS8
1_2_LE07_126052_20181217,1545016541730,-0.140800494584761,0.4250295355442161,-1.9425247223477624,0.4482957051712322,0.8843780159950256,-0.6456841826438904,-0.3226027812394822,0.9721627408993576,-0.7377704405248067,33.26724178212417,45.037903746246286,24.463067719032665,25.0,2018-12-17 03:15:41.730,2018,12,17,351,LS7
1_1_LC08_126052_20181225,1545707994210,-0.1524127529521995,0.3010325776628033,-0.8987918077290357,0.439191034462829,0.9738296270370485,-0.6965811848640442,-0.2801154800419597,0.940959409594096,-0.9666782367233596,26.85904238771309,37.88094973508021,22.149602085801572,11.130000114440918,2018-12-25 03:19:54.210,2018,12,25,359,LS8
1_1_LC08_126052_20190110,1547090392780,-0.1552521436151553,0.1301844840556651,-0.5036489789153074,0.495435512305848,0.9862768650054932,-0.1105424761772155,-0.2807582124331748,0.5414634146341464,-0.8121664887940234,26.812435850968463,36.380402013557216,20.00949714795649,25.979999542236328,2019-01-10 03:19:52.780,2019,1,10,10,LS8
1_2_LE07_126052_20190118,1547781283080,-0.1136378053672682,0.2838380830182836,-0.5829429113307094,0.4008412708756764,0.7899073362350464,-0.5266010165214539,-0.2875931797006779,0.8360655737704917,-0.6589481242146831,26.615336129994414,40.82360901938699,20.022479408475192,12.0,2019-01-18 03:14:43.080,2019,1,18,18,LS7
1_1_LC08_126052_20190126,1548472788860,-0.076114718401747,0.2178808038145579,-0.3865901051704817,0.3809216735471541,0.7337983250617981,-0.212078645825386,-0.3057273339490979,0.4200146092037984,-0.5449330783938815,22.72055107671588,31.620662890548488,20.00022048301304,34.310001373291016,2019-01-26 03:19:48.860,2019,1,26,26,LS8
1_1_LC08_126052_20190211,1549855186700,-0.1159478124421236,0.3780231602778834,-0.7659797907957123,0.4053427431515504,0.8527448773384094,-0.5649717450141907,-0.291806836635501,0.9223697650663945,-0.7555491496108389,35.67205504036482,48.34076502821404,29.90703239808033,0.2300000041723251,2019-02-11 03:19:46.700,2019,2,11,42,LS8
1_2_LE07_126052_20190219,1550546024200,-0.0900098178064939,0.662541477443042,-1.7012157439573234,0.380307577633122,0.7977147698402405,-0.6448044776916504,-0.3056885681404016,0.9791013584117032,-0.8332645859113617,38.19136413597547,52.14881143093794,30.88037407074148,16.0,2019-02-19 03:13:44.200,2019,2,19,50,LS7
1_1_LC08_126052_20190227,1551237583140,-0.104505200495782,0.2607108025292999,-0.6824124026418122,0.4004527009629721,0.816683828830719,-0.4914728701114654,-0.2911256770155446,0.8415492957746478,-0.6501597444089456,35.198473158577016,46.8536581953216,29.620739572432115,4.590000152587891,2019-02-27 03:19:43.140,2019,2,27,58,LS8
1_2_LE07_126052_20190307,1551928394210,-0.0904917363231683,0.4557889522190702,-3.046856371597777,0.3766510945497958,0.8177666068077087,-0.6681262850761414,-0.3038147626271639,0.9974457215836524,-0.7880291448750615,40.04021415429429,53.55434571328453,32.867702716188546,0.0,2019-03-07 03:13:14.210,2019,3,7,66,LS7
1_1_LC08_126052_20190315,1552619977210,-0.102207786128094,0.2289251516928622,-0.643954114900544,0.4046132799023956,0.8217821717262268,-0.2567049860954284,-0.2817608235052456,0.7486687965921192,-0.6424785231219156,36.68663819672984,50.20953868138247,28.513635429081774,4.940000057220459,2019-03-15 03:19:37.210,2019,3,15,74,LS8
1_2_LE07_126052_20190323,1553310762610,-0.0925258883407995,0.4464962768934426,-0.7256573462702377,0.3394115197003338,0.673755943775177,-0.1877682358026504,-0.2358671114277499,0.8384991843393148,-0.8916107065165989,39.72921349710865,53.822431453613206,30.86855177896166,14.0,2019-03-23 03:12:42.610,2019,3,23,82,LS7
1_1_LC08_126052_20190331,1554002374340,-0.1593198891875269,0.1679295209105443,-0.3597168966372212,0.4237033948132578,0.7737939953804016,-0.172151893377304,-0.2117084886061465,0.6060013046314416,-0.5027715048244714,26.30700516472945,35.10980288729934,20.00445298662305,51.95000076293945,2019-03-31 03:19:34.340,2019,3,31,90,LS8
1_1_LC08_126052_20190416,1555384768940,-0.1301838490066438,0.200856542727191,-0.4992988264041781,0.5184057200579988,0.7972241640090942,-0.147679328918457,-0.3647209447515471,0.4953703703703704,-0.5837418300653595,24.36176558452369,41.42370159656679,20.00129037229925,26.43000030517578,2019-04-16 03:19:28.940,2019,4,16,106,LS8
1_1_LC08_126052_20190502,1556767167310,-0.091554648739914,0.2360227050856749,-0.5683457100601647,0.3985660684912255,0.9620726704597472,-0.4318398535251617,-0.2941249072450382,0.8000000000000002,-0.8872524123920772,33.177483317151896,45.54284762951914,21.499644736594743,29.34000015258789,2019-05-02 03:19:27.310,2019,5,2,122,LS8
